"t" "p" "padj"
"201117_s_at" 4.08011349398802 7.94843796582136e-05 0.000118491319626801
"201141_at" 17.6904625993084 1.61022393360059e-36 4.1087547372375e-35
"201147_s_at" 18.0503442329278 7.89666768322294e-37 2.12101723210778e-35
"201149_s_at" 15.7972876061707 5.80741048431501e-29 4.85854942704168e-28
"201150_s_at" 17.2165230769157 1.70812070372938e-35 3.58237369508174e-34
"201261_x_at" 16.9122128955558 2.27372666441307e-34 3.91132081260271e-33
"201262_s_at" 11.8272347227267 2.56721167444664e-20 1.03431607199416e-19
"201348_at" 14.1082786760279 6.54769681073197e-27 4.51555126902282e-26
"201430_s_at" 15.9914778505975 1.11150147854723e-32 1.44212607089475e-31
"201431_s_at" 17.4631531281427 4.37733490844277e-36 1.00025369325759e-34
"201495_x_at" 7.03692906535556 1.89786493803138e-09 3.59163315219535e-09
"201496_x_at" 9.67024368558865 2.56017835382582e-14 6.46804135265236e-14
"201497_x_at" 10.1971345423738 5.01010269511812e-16 1.46382962332554e-15
"201525_at" 9.22334577221231 5.45022630429848e-15 1.44866258192378e-14
"201539_s_at" 9.16839749999384 9.15249812790322e-14 2.26007655384191e-13
"201616_s_at" 18.1830235854251 1.26046108822513e-37 4.19514331754928e-36
"201617_x_at" 17.8917318404168 4.24266386916068e-37 1.32561599667041e-35
"201645_at" 11.3044197754297 3.72179429376878e-20 1.4761831771399e-19
"201792_at" 16.8479398775824 1.04369314056589e-31 1.22914938323568e-30
"201842_s_at" 18.6032465617823 1.0549418972371e-38 5.07847064897912e-37
"201843_s_at" 19.7467265699193 2.67433062699569e-37 8.61107232568658e-36
"201848_s_at" 4.2025961069615 4.8306402764496e-05 7.26494131949345e-05
"201849_at" 5.45822727188062 2.35742222979787e-07 4.02813999310328e-07
"201909_at" -0.827281070929514 0.409807710791278 0.446559149623805
"202037_s_at" 8.59288726022716 3.34759037825519e-12 7.4063018339721e-12
"202133_at" 19.2096911028027 5.9741479069e-40 3.81100851894329e-38
"202203_s_at" 0.57892953350698 0.563819761762764 0.591238394012871
"202206_at" 14.2062342908253 3.30091933467714e-28 2.5523775259549e-27
"202207_at" 14.1477362248515 3.14807208629273e-28 2.44654739295135e-27
"202222_s_at" 8.6981147378398 1.54251396170806e-12 3.4986501857408e-12
"202274_at" 9.32369800419369 2.05902559047319e-14 5.25394696502409e-14
"202286_s_at" -0.847931078866291 0.398157663248938 0.434482810002939
"202291_s_at" 22.0930983491556 9.0941435452667e-46 2.78462675356066e-43
"202311_s_at" 13.4528891284117 2.3250197329176e-26 1.50830729283764e-25
